8.309927332840569836e-01,0.000000000000000000e+00,1.091122780795501512e+00
9.240883887636365257e-01,6.056795294692281229e-02,9.500153001768063543e-01
9.881008515729468034e-01,1.300859449778111465e-01,8.177081546538006451e-01
1.035968022620800344e+00,2.060668519091264916e-01,6.764420274719760151e-01
1.059760528004624724e+00,2.839619776492193770e-01,5.529906430817993490e-01
1.069724139144852204e+00,3.631224148416784536e-01,4.253306659928902667e-01
1.062018210803497231e+00,4.399023464020171970e-01,3.208245038525789350e-01
1.043748403271461900e+00,5.147197510007984755e-01,2.147553169786638183e-01
1.012178724868508128e+00,5.843816592708451774e-01,1.612958474553125854e-01
9.758049388539121738e-01,6.520120149183318281e-01,8.075860058302479494e-02
9.317818301892190069e-01,7.149813452126163593e-01,5.385273752642787126e-02
8.834284682477195894e-01,7.747459733909941582e-01,2.693047040429722219e-02
8.308661690657741516e-01,8.308661690657741516e-01,2.693047040429722219e-02
7.747459733909942692e-01,8.834284682477194783e-01,2.693047040429722219e-02
7.149813452126164703e-01,9.317818301892188959e-01,5.385273752642787126e-02
6.520120149183320502e-01,9.758049388539120628e-01,8.075860058302479494e-02
5.843816592708453994e-01,1.012178724868507906e+00,1.612958474553125854e-01
5.147197510007986976e-01,1.043748403271461678e+00,2.147553169786638183e-01
4.399023464020172525e-01,1.062018210803497231e+00,3.208245038525789350e-01
3.631224148416786202e-01,1.069724139144851982e+00,4.253306659928902667e-01
2.858210898678738565e-01,1.066698829261614190e+00,5.277646598825737057e-01
2.060668519091265749e-01,1.035968022620800344e+00,6.764420274719760151e-01
1.300859449778112853e-01,9.881008515729468034e-01,8.177081546538006451e-01
6.056795294692300657e-02,9.240883887636365257e-01,9.500153001768063543e-01
5.088362954655152906e-17,8.309927332840569836e-01,1.091122780795501512e+00
